label,area,centroid-0,centroid-1,centroid-2,mean_intensity
1,18144.0,45.14566798941799,257.91264329805995,372.4621362433862,134.59430114638448
2,18874.0,26.037617887040373,316.19301684857476,163.2023948288651,137.29008159372682
3,16727.0,14.129491241705027,180.9195312967059,321.4008489268847,145.7310934417409
4,10353.0,23.2845552013909,197.60484883608615,346.6555587752342,142.158215010142
5,13839.0,37.66283691018137,215.0471854902811,389.14668689934246,136.3066695570489
6,8991.0,53.595818040262486,289.651985318652,194.52975197419642,128.69981092203315
7,8155.0,38.23605150214592,324.2134886572655,173.89393010423052,132.00269773145308
8,12200.0,23.35573770491803,196.2660655737705,247.30491803278687,130.1254918032787
9,13996.0,9.651471849099742,210.5960274364104,300.1649042583595,170.00721634752787
10,7062.0,22.95043896913056,239.9780515434721,206.38289436420277,158.89139054092325
11,10666.0,24.56619163697731,259.74451528220516,237.86171010688167,152.59863116444777
12,6832.0,35.784982435597186,262.6260245901639,172.5114168618267,141.83167447306792
13,7388.0,45.20438548998376,263.99336762317273,253.26840822956146,130.6548456957228
14,8130.0,23.938007380073802,183.4439114391144,381.0162361623616,126.02583025830258
15,8142.0,20.097273397199704,184.95787275853598,292.88737410955537,143.05404077622205
16,6352.0,59.78431989924433,256.8633501259446,246.89609571788412,129.1235831234257
17,6968.0,42.267221584385766,240.50243972445466,292.31099311136626,127.7333524684271
18,7083.0,37.01990681914443,270.50063532401526,151.02456586192292,128.39291260765214
19,10635.0,46.643535496003764,294.16173013634227,286.38504936530325,127.28500235072873
20,11547.0,33.98718281804798,181.79674374296354,363.79414566554084,111.68164891313761
21,7811.0,11.308923313276148,197.89796440916655,272.16694405325825,155.46972218665985
22,6640.0,33.93042168674699,228.75481927710842,239.07243975903614,150.60557228915664
23,1008.0,36.2718253968254,180.42460317460316,377.828373015873,100.39980158730158
24,6069.0,44.08601087493821,222.8515406162465,205.8180919426594,134.45163947932113
25,6834.0,45.30933567456834,299.63652326602283,162.2569505414106,115.05443371378402
26,6654.0,47.227231740306586,354.7596934174932,169.73925458370906,94.51818455064623
27,8138.0,32.39506021135414,219.20656180879823,270.5019660850332,134.07557139346278
28,5100.0,36.67411764705882,273.40588235294115,282.28254901960787,125.76529411764706
29,9466.0,63.31396577223748,347.73589689414746,213.21698711176845,99.63205155292626
30,6232.0,11.273748395378691,217.85590500641848,260.2471116816431,168.36216302952502
31,4661.0,14.428877923192449,170.3870414074233,280.4385325037546,127.47672173353358
32,5857.0,24.143930339764385,283.8197029195834,220.77701895168175,170.5303056172102
33,3460.0,33.35491329479769,241.5407514450867,195.5598265895954,152.6679190751445
34,6725.0,38.89873605947955,291.98557620817843,246.5011152416357,144.2504089219331
35,5340.0,53.73071161048689,372.67228464419475,244.52602996254683,132.91947565543072
36,8445.0,34.17039668442865,237.06299585553583,349.59455298993487,130.09212551805803
37,6268.0,46.72670708359924,243.07131461391194,318.37651563497127,134.87571793235483
38,6318.0,54.300886356441914,248.05523899968344,205.47150997150996,135.053972776195
39,6856.0,59.34830805134189,286.05673862310385,241.2435822637106,114.74124854142357
40,5234.0,31.49713412304165,205.37734046618266,203.70825372564005,148.00286587695834
41,6031.0,37.84894710661582,300.3415685624275,140.3152047753275,126.01359641850439
42,10202.0,32.91227210350912,305.75945892962164,193.1813369927465,143.4806900607724
43,4597.0,38.705895149010225,263.8422884489885,317.59908636067,132.816619534479
44,5852.0,46.72881066302119,295.70146958304855,123.04049897470951,122.50632262474367
45,4928.0,48.08502435064935,202.41436688311688,398.8948863636364,117.17633928571429
46,5206.0,48.42950441797925,213.77353054168267,362.36899731079524,133.87168651555896
47,7273.0,49.93029011412072,262.5622164168844,329.4524955314176,115.77217104358587
48,4095.0,53.45543345543346,353.66080586080585,158.23565323565325,91.4957264957265
49,6849.0,61.00014600671631,320.68039129799973,178.0573806395094,86.83968462549278
50,5569.0,62.85904112048842,302.09247620757765,256.2910755970551,128.1339558268989
51,9348.0,66.8056268720582,341.2724646983312,155.502567394095,93.40596919127086
52,5988.0,28.972778891115563,243.75434201736806,293.062959251837,132.39679358717436
53,4773.0,22.056777707940498,241.41378587890216,168.91389063482086,153.79321181646762
54,9316.0,59.968656075568916,301.03027050236153,218.3696865607557,116.05893087161873
