 ,Volume (µm^3),Surface (µm^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (µm),SD dist. to surf. (µm),Median dist. to surf. (µm),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
94,340.832,437.748,0,856,260491,119,0,0,119,0,306.357,195.805,46.934,4.382,0,0,306.360,195.805,46.934,0,0,0,0,0,0
95,90.307,160.605,0,295,57420,99,0,0,99,0,370.362,232.034,43.048,2.625,0,0,370.363,232.034,43.048,0,0,0,0,0,0
96,430.983,464.333,0,964,323856,117,0,0,117,0,253.285,269.931,45.122,4.798,0,0,253.282,269.931,45.122,0,0,0,0,0,0
97,89.373,213.877,0,326,61992,108,0,0,108,0,147.197,303.892,43.605,2.947,0,0,147.197,303.892,43.605,0,0,0,0,0,0
98,564.575,538.609,0,1040,427868,118,0,0,118,0,111.793,322.905,44.899,5.192,0,0,111.795,322.905,44.899,0,0,0,0,0,0
99,189.334,292.594,0,519,122816,101,0,0,101,0,136.856,324.920,43.022,3.481,0,0,136.856,324.920,43.022,0,0,0,0,0,0
100,139.509,267.140,0,448,100352,112,0,0,112,0,409.531,183.238,45.750,3.196,0,0,409.531,183.238,45.750,0,0,0,0,0,0
101,128.143,218.987,0,374,99583,121,0,0,121,0,259.515,259.228,46.582,3.605,0,0,259.514,259.229,46.582,0,0,0,0,0,0
102,198.987,265.949,0,509,143136,112,0,0,112,0,354.236,279.456,44.649,3.525,0,0,354.236,279.456,44.649,0,0,0,0,0,0
103,871.775,782.607,0,1528,683078,122,0,0,122,0,334.481,287.674,48.309,5.825,0,0,334.477,287.674,48.309,0,0,0,0,0,0
104,132.191,224.899,0,394,89145,105,0,0,105,0,400.224,173.304,45.697,3.206,0,0,400.222,173.304,45.697,0,0,0,0,0,0
105,219.073,325.335,0,587,205422,146,0,0,146,0,361.647,219.386,49.564,4.665,0,0,361.644,219.386,49.564,0,0,0,0,0,0
106,563.330,629.656,0,1196,484812,134,0,0,134,0,319.372,241.937,47.265,5.211,0,0,319.376,241.938,47.265,0,0,0,0,0,0
107,88.594,179.630,0,293,65435,115,0,0,115,0,233.397,351.866,45.176,3.061,0,0,233.397,351.867,45.176,0,0,0,0,0,0
108,508.367,660.647,0,1094,538725,165,0,0,165,0,183.510,377.602,52.621,5.815,0,0,183.508,377.604,52.621,0,0,0,0,0,0
109,160.840,247.598,0,462,129125,125,0,0,125,0,406.154,208.657,47.857,3.571,0,0,406.152,208.657,47.857,0,0,0,0,0,0
110,281.198,374.524,0,669,252840,140,0,0,140,0,363.648,209.300,49.253,4.395,0,0,363.651,209.300,49.253,0,0,0,0,0,0
111,394.860,442.487,0,786,322072,127,0,0,127,0,199.194,266.779,48.540,4.665,0,0,199.196,266.778,48.540,0,0,0,0,0,0
112,359.360,556.296,0,957,346200,150,0,0,150,0,126.958,295.945,48.393,5.031,0,0,126.959,295.945,48.393,0,0,0,0,0,0
113,373.840,535.782,0,929,360150,150,0,0,150,0,172.792,295.627,50.582,5.030,0,0,172.795,295.628,50.582,0,0,0,0,0,0
114,346.748,429.221,0,746,298418,134,0,0,134,0,261.524,313.150,48.312,4.469,0,0,261.528,313.149,48.312,0,0,0,0,0,0
115,320.746,400.064,0,702,292520,142,0,0,142,0,202.413,315.748,48.162,4.448,0,0,202.416,315.748,48.162,0,0,0,0,0,0
116,381.003,478.538,0,863,335239,137,0,0,137,0,233.047,362.615,47.646,4.619,0,0,233.045,362.614,47.646,0,0,0,0,0,0
117,85.480,180.629,0,283,71919,131,0,0,131,0,389.317,177.874,48.230,2.927,0,0,389.318,177.874,48.230,0,0,0,0,0,0
118,115.064,226.730,0,387,101982,138,0,0,138,0,398.732,185.016,48.977,3.368,0,0,398.731,185.016,48.977,0,0,0,0,0,0
119,117.088,203.596,0,364,99264,132,0,0,132,0,401.971,198.440,48.039,3.319,0,0,401.971,198.440,48.039,0,0,0,0,0,0
120,331.957,440.269,0,771,311272,146,0,0,146,0,391.941,204.226,50.399,4.489,0,0,391.938,204.226,50.399,0,0,0,0,0,0
121,428.959,553.881,0,966,429780,156,0,0,156,0,335.236,207.962,51.273,4.965,0,0,335.241,207.962,51.273,0,0,0,0,0,0
122,464.615,503.826,0,985,420744,141,0,0,141,0,348.073,248.929,48.529,4.699,0,0,348.072,248.929,48.529,0,0,0,0,0,0
123,110.393,213.651,0,354,99260,140,0,0,140,0,312.527,249.955,49.337,3.631,0,0,312.527,249.955,49.337,0,0,0,0,0,0
